,School_ID,Finance_ID,Short_Name,Long_Name,Primary_Category,Student_Count_Total,Rating_Statement,perc_Student_Count_Low_Income,perc_Student_Count_Special_Ed,perc_Student_Count_English_Learners,perc_Student_Count_Black,perc_Student_Count_Hispanic,perc_Student_Count_White,perc_Student_Count_Asian,perc_Student_Count_Native_American,perc_Student_Count_Other_Ethnicity,perc_Student_Count_Asian_Pacific_Islander,perc_Student_Count_Multi,perc_Student_Count_Hawaiian_Pacific_Islander,perc_Student_Count_Ethnicity_Not_Available,race_majority,geometry,num_counsel_FT,num_counsel_PT,FTE Annual Salary,counselor_student_ratio
354,610077,24571,MORRILL,Donald Morrill Math & Science Elementary School,ES,608,2+,0.975328947368421,0.11513157894736842,0.3963815789473684,0.3404605263157895,0.649671052631579,0.008223684210526315,0.0,0.001644736842105263,0.0,0.0,0.0,0.0,0.0,Hispanic,POINT (-87.68854925525291 41.78431328076809),2.0,0.0,83892.0,0.003289473684210526
355,609870,22851,CORKERY,Daniel J Corkery Elementary School,ES,438,1,0.9269406392694064,0.14840182648401826,0.4840182648401826,0.10730593607305935,0.8721461187214612,0.01141552511415525,0.0,0.00228310502283105,0.0,0.0,0.0,0.0045662100456621,0.00228310502283105,Hispanic,POINT (-87.73119286568263 41.84560242144964),1.0,0.0,66321.0,0.00228310502283105
356,400119,66641,LEGAL PREP HS,Legal Prep Charter Academy,HS,279,2,0.942652329749104,0.2114695340501792,0.0,0.992831541218638,0.0035842293906810036,0.0,0.0,0.0035842293906810036,0.0,0.0,0.0,0.0,0.0,Black,POINT (-87.73377838310492 41.88173275840047),0.0,0.0,0.0,0.0
357,400086,66441,URBAN PREP - ENGLEWOOD HS,Urban Prep Academy for Young Men - Englewood,HS,227,2,0.8237885462555066,0.2687224669603524,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,POINT (-87.63435669192559 41.78149781583186),0.0,0.0,0.0,0.0
358,400121,66134,ACERO - DE LA CRUZ,Acero Charter Schools - Sor Juana Inés de la Cruz,ES,597,2,0.9061976549413735,0.15912897822445563,0.4338358458961474,0.4438860971524288,0.5058626465661642,0.020100502512562814,0.01675041876046901,0.005025125628140704,0.0,0.0,0.006700167504187605,0.0016750418760469012,0.0,Hispanic,POINT (-87.68440568153892 42.01647588165271),0.0,0.0,0.0,0.0
359,400146,0,KIPP - ACADEMY,KIPP Academy Chicago Campus,ES,514,1+,0.9591439688715954,0.14785992217898833,0.0,0.9708171206225681,0.02529182879377432,0.0019455252918287938,0.0,0.0,0.0,0.0,0.0,0.0019455252918287938,0.0,Black,POINT (-87.74661383938387 41.89181614195321),0.0,0.0,0.0,0.0
360,610547,46631,SOUTH SHORE INTL HS,South Shore Intl College Prep High School,HS,581,2+,0.8227194492254734,0.08433734939759036,0.0068846815834767644,0.9672977624784854,0.022375215146299483,0.0,0.0017211703958691911,0.0,0.0,0.0,0.008605851979345954,0.0,0.0,Black,POINT (-87.57635263779207 41.75879166256017),3.0,0.0,80993.0,0.0051635111876075735
361,610107,24791,OTIS,James Otis Elementary School,ES,379,2,0.899736147757256,0.3034300791556728,0.42744063324538256,0.29815303430079154,0.6253298153034301,0.03430079155672823,0.026385224274406333,0.005277044854881266,0.0,0.0,0.005277044854881266,0.005277044854881266,0.0,Hispanic,POINT (-87.66542623591396 41.89180608125555),1.0,0.0,99188.0,0.002638522427440633
362,400083,66131,ACERO - PAZ,Acero Charter Schools - Octavio Paz Campus,ES,242,2+,0.9586776859504132,0.1115702479338843,0.5826446280991735,0.05785123966942149,0.9297520661157025,0.0,0.0,0.0,0.0,0.0,0.012396694214876033,0.0,0.0,Hispanic,POINT (-87.69255089867096 41.85003541229726),0.0,0.0,0.0,0.0
363,609741,46341,HUBBARD HS,Gurdon S Hubbard High School,HS,1628,2+,0.9514742014742015,0.14004914004914004,0.19533169533169534,0.06142506142506143,0.9121621621621622,0.019041769041769043,0.0012285012285012285,0.003071253071253071,0.0,0.0,0.002457002457002457,0.0,0.0006142506142506142,Hispanic,POINT (-87.71801374323086 41.78052638662795),4.0,0.0,75226.5,0.002457002457002457
364,609879,22901,DAWES,Charles Gates Dawes Elementary School,ES,1041,1,0.9759846301633045,0.18059558117195004,0.2689721421709894,0.15177713736791545,0.829971181556196,0.012487992315081652,0.0,0.0019212295869356388,0.0,0.0,0.002881844380403458,0.0009606147934678194,0.0,Hispanic,POINT (-87.71735342363266 41.74507775134669),1.0,0.0,99188.0,0.0009606147934678194
365,609891,22991,DOOLITTLE,James R Doolittle Jr Elementary School,ES,228,3,0.956140350877193,0.10964912280701754,0.013157894736842105,0.9956140350877193,0.0043859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,POINT (-87.61227454299049 41.83112062833841),1.0,0.0,67485.0,0.0043859649122807015
366,609917,23201,FERNWOOD,Fernwood Elementary School,ES,276,1,0.9311594202898551,0.10869565217391304,0.0,0.9927536231884058,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,POINT (-87.64041364558067 41.71118362225583),1.0,0.0,77978.0,0.0036231884057971015
367,610248,45211,CHICAGO ACADEMY ES,Chicago Academy Elementary School,ES,563,1+,0.7193605683836589,0.16518650088809947,0.3268206039076377,0.021314387211367674,0.7300177619893428,0.20426287744227353,0.03374777975133215,0.0,0.0,0.0,0.008880994671403197,0.0017761989342806395,0.0,Hispanic,POINT (-87.77818680275425 41.94305591932024),1.0,0.0,61983.0,0.0017761989342806395
368,609788,22131,BARNARD,Alice L Barnard Computer Math & Science Ctr ES,ES,288,1,0.7951388888888888,0.1284722222222222,0.0,0.9513888888888888,0.010416666666666666,0.027777777777777776,0.003472222222222222,0.0,0.0,0.0,0.003472222222222222,0.003472222222222222,0.0,Black,POINT (-87.65807422406259 41.70513101130904),1.0,0.0,99246.0,0.003472222222222222
369,610530,22251,SOUTH SHORE ES,South Shore Fine Arts Academy,ES,329,2+,0.8936170212765957,0.25835866261398177,0.0060790273556231,0.9513677811550152,0.03951367781155015,0.0,0.0,0.00303951367781155,0.0,0.0,0.0060790273556231,0.0,0.0,Black,POINT (-87.59039610206059 41.76775510872349),1.0,0.0,72475.0,0.00303951367781155
370,400112,66399,ACERO - IDAR,Acero Charter Schools - Jovita Idar,ES,545,2+,0.8825688073394495,0.08807339449541285,0.5009174311926605,0.003669724770642202,0.9908256880733946,0.003669724770642202,0.0,0.001834862385321101,0.0,0.0,0.0,0.0,0.0,Hispanic,POINT (-87.70879678421302 41.80104241336387),0.0,0.0,0.0,0.0
371,609748,49041,YORK HS,Consuella B York Alternative HS,HS,139,,0.9928057553956835,0.381294964028777,0.04316546762589928,0.762589928057554,0.18705035971223022,0.02158273381294964,0.0,0.014388489208633094,0.0,0.0,0.014388489208633094,0.0,0.0,Black,POINT (-87.6952610158806 41.84253334794401),1.0,0.0,84884.0,0.007194244604316547
372,610003,23881,CUFFE,Paul Cuffe Math-Science Technology Academy ES,ES,298,1,0.912751677852349,0.19798657718120805,0.0,0.9865771812080537,0.013422818791946308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,POINT (-87.6536334470717 41.74245162654451),1.0,0.0,99789.0,0.003355704697986577
